"VP_ID","Bedingung","Spendenbereitschaft","Festivalinteresse"
1,"Freier Eintritt + Spende",6,3
2,"Freier Eintritt + Spende",5,4
3,"Freier Eintritt + Spende",7,4
4,"Freier Eintritt + Spende",7,5
5,"Freier Eintritt + Spende",5,3
6,"Freier Eintritt + Spende",6,7
7,"Freier Eintritt + Spende",6,5
8,"Freier Eintritt + Spende",6,5
9,"Freier Eintritt + Spende",7,6
10,"Freier Eintritt + Spende",6,4
11,"Freier Eintritt + Spende",4,6
12,"Freier Eintritt + Spende",7,3
13,"Freier Eintritt + Spende",7,4
14,"Freier Eintritt + Spende",4,3
15,"Freier Eintritt + Spende",6,5
16,"Freier Eintritt + Spende",6,5
17,"Freier Eintritt + Spende",4,5
18,"Freier Eintritt + Spende",5,2
19,"Freier Eintritt + Spende",6,5
20,"Freier Eintritt + Spende",5,6
21,"Freier Eintritt + Spende",7,2
22,"Freier Eintritt + Spende",4,3
23,"Freier Eintritt + Spende",5,2
24,"Freier Eintritt + Spende",7,3
25,"Freier Eintritt + Spende",4,7
26,"Freier Eintritt + Spende",7,4
27,"Freier Eintritt + Spende",5,5
28,"Freier Eintritt + Spende",6,6
29,"Freier Eintritt + Spende",6,4
30,"Freier Eintritt + Spende",7,3
31,"Freier Eintritt + Spende",6,4
32,"Freier Eintritt + Spende",6,5
33,"Freier Eintritt + Spende",5,5
34,"Freier Eintritt + Spende",5,2
35,"Freier Eintritt + Spende",6,4
36,"Freier Eintritt + Spende",4,4
37,"Freier Eintritt + Spende",5,5
38,"Freier Eintritt + Spende",4,6
39,"Freier Eintritt + Spende",5,5
40,"Freier Eintritt + Spende",4,7
41,"Freier Eintritt + Spende",6,2
42,"Freier Eintritt + Spende",6,6
43,"Freier Eintritt + Spende",7,7
44,"Freier Eintritt + Spende",6,5
45,"Freier Eintritt + Spende",6,3
46,"Freier Eintritt + Spende",5,2
47,"Freier Eintritt + Spende",5,3
48,"Freier Eintritt + Spende",4,2
49,"Freier Eintritt + Spende",7,4
50,"Freier Eintritt + Spende",5,5
51,"Freier Eintritt + Spende",5,6
52,"Freier Eintritt + Spende",6,2
53,"Freier Eintritt + Spende",7,5
54,"Freier Eintritt + Spende",7,6
55,"Freier Eintritt + Spende",6,2
56,"Freier Eintritt + Spende",7,2
57,"Freier Eintritt + Spende",7,6
58,"Freier Eintritt + Spende",6,7
59,"Freier Eintritt + Spende",7,2
60,"Freier Eintritt + Spende",6,6
61,"10 Euro Eintritt, wird gespendet",3,6
62,"10 Euro Eintritt, wird gespendet",3,2
63,"10 Euro Eintritt, wird gespendet",6,5
64,"10 Euro Eintritt, wird gespendet",3,3
65,"10 Euro Eintritt, wird gespendet",3,3
66,"10 Euro Eintritt, wird gespendet",6,4
67,"10 Euro Eintritt, wird gespendet",4,4
68,"10 Euro Eintritt, wird gespendet",5,4
69,"10 Euro Eintritt, wird gespendet",3,5
70,"10 Euro Eintritt, wird gespendet",3,4
71,"10 Euro Eintritt, wird gespendet",4,4
72,"10 Euro Eintritt, wird gespendet",3,4
73,"10 Euro Eintritt, wird gespendet",5,3
74,"10 Euro Eintritt, wird gespendet",3,3
75,"10 Euro Eintritt, wird gespendet",3,6
76,"10 Euro Eintritt, wird gespendet",4,3
77,"10 Euro Eintritt, wird gespendet",4,2
78,"10 Euro Eintritt, wird gespendet",4,6
79,"10 Euro Eintritt, wird gespendet",6,4
80,"10 Euro Eintritt, wird gespendet",3,5
81,"10 Euro Eintritt, wird gespendet",6,5
82,"10 Euro Eintritt, wird gespendet",6,5
83,"10 Euro Eintritt, wird gespendet",6,3
84,"10 Euro Eintritt, wird gespendet",3,4
85,"10 Euro Eintritt, wird gespendet",4,7
86,"10 Euro Eintritt, wird gespendet",3,4
87,"10 Euro Eintritt, wird gespendet",5,6
88,"10 Euro Eintritt, wird gespendet",5,4
89,"10 Euro Eintritt, wird gespendet",4,2
90,"10 Euro Eintritt, wird gespendet",4,5
91,"10 Euro Eintritt, wird gespendet",6,3
92,"10 Euro Eintritt, wird gespendet",3,6
93,"10 Euro Eintritt, wird gespendet",6,5
94,"10 Euro Eintritt, wird gespendet",4,5
95,"10 Euro Eintritt, wird gespendet",4,4
96,"10 Euro Eintritt, wird gespendet",3,5
97,"10 Euro Eintritt, wird gespendet",5,3
98,"10 Euro Eintritt, wird gespendet",4,5
99,"10 Euro Eintritt, wird gespendet",4,7
100,"10 Euro Eintritt, wird gespendet",4,4
101,"10 Euro Eintritt, wird gespendet",4,3
102,"10 Euro Eintritt, wird gespendet",4,5
103,"10 Euro Eintritt, wird gespendet",5,5
104,"10 Euro Eintritt, wird gespendet",3,3
105,"10 Euro Eintritt, wird gespendet",6,3
106,"10 Euro Eintritt, wird gespendet",5,4
107,"10 Euro Eintritt, wird gespendet",4,6
108,"10 Euro Eintritt, wird gespendet",4,4
109,"10 Euro Eintritt, wird gespendet",6,2
110,"10 Euro Eintritt, wird gespendet",3,6
111,"10 Euro Eintritt, wird gespendet",4,4
112,"10 Euro Eintritt, wird gespendet",4,3
113,"10 Euro Eintritt, wird gespendet",5,3
114,"10 Euro Eintritt, wird gespendet",3,5
115,"10 Euro Eintritt, wird gespendet",3,4
116,"10 Euro Eintritt, wird gespendet",3,2
117,"10 Euro Eintritt, wird gespendet",3,3
118,"10 Euro Eintritt, wird gespendet",5,3
119,"10 Euro Eintritt, wird gespendet",5,6
120,"10 Euro Eintritt, wird gespendet",6,3
